FILEPATH | REASON | PRIORITY | IMPORTED_BY | IMPACT_COUNT

# REDUX STORE FILES (16 files)
src/store/store.js | Central Redux store configuration - ALL pages fail without this | HIGH | All pages using Redux | 36+ pages
src/store/propertySlice.js | Property state management | HIGH | HomePage, PropertiesPage | 2 pages
src/store/userSlice.js | User state management | HIGH | ProfilePage, UnifiedDashboardPage, SignInPage | 5 pages
src/store/authSlice.js | Authentication state | HIGH | All auth pages | 4 pages
src/store/dashboardSlice.js | Dashboard/favorites state | HIGH | PropertiesPage, dashboard pages | 6 pages
src/store/contentSlice.js | Content/CRM state | HIGH | Dashboard/CRM pages | 8 pages
src/store/roleSlice.js | Role management state | HIGH | Role-based pages | 12 pages
src/store/crmDataSlice.js | CRM data state | HIGH | Owner/manager dashboards | 5 pages
src/store/featuresSlice.js | Feature flags state | HIGH | DesignSystemTest, feature pages | 3 pages
src/store/analyticsSlice.js | Analytics state | HIGH | Analytics pages | 3 pages
src/store/managingDirectorDashboardSlice.js | Manager dashboard state | HIGH | Manager pages | 2 pages
src/store/slices/inventorySlice.js | Inventory state | HIGH | Inventory pages | 2 pages
src/store/slices/sidebarSlice.js | Sidebar state | HIGH | UnifiedDashboardPage, layout | 3 pages
src/store/slices/aiAssistantDashboardSlice.js | AI assistant state | HIGH | UnifiedDashboardPage, owner | 4 pages
src/store/slices/notificationSlice.ts | ALREADY CONVERTED | - | - | -
src/store/middleware/eventBusMiddleware.js | Redux event bus middleware | HIGH | store.js setup | Critical

# CONFIGURATION FILES (5 files)
src/config/ROLE_TAB_MAPPING.js | Role tab mapping - IMPORTED BY UnifiedDashboardPage line 4 | HIGH | UnifiedDashboardPage | 1 page (but 15+ tabs)
src/config/navigation.js | Navigation structure for all pages | HIGH | Layout components, pages | 30+ pages
src/config/assistantRegistry.js | AI assistant definitions | HIGH | UnifiedDashboardPage, owner pages | 6 pages
src/config/businessModel.js | Business model configuration | HIGH | Owner dashboard, settings | 4 pages
src/config/platformFeatures.js | Platform features definitions | HIGH | DesignSystemTest, feature pages | 5 pages

# LAYOUT COMPONENTS - DIRECTLY IMPORTED (15 files)
src/components/layout/AppLayout.jsx | Homer, PropertiesPage, AboutPage, CareersPage, ContactPage, ServicesPage - line 4 | HIGH | 6 pages | 6 pages
src/components/layout/AppLayout/index.js | Export wrapper for AppLayout | HIGH | Layout system | 1 page
src/components/layout/MainNavBar/MainNavBar.jsx | Navigation bar import | HIGH | Layout pages | 5+ pages
src/components/layout/MainNavBar/MainNavBarUpdated.jsx | Alternative MainNavBar | HIGH | Layout fallback | 3+ pages
src/components/layout/MainNavBar/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/layout/SidebarContainer/SidebarContainer.jsx | UnifiedDashboardPage line 7 - CRITICAL | HIGH | UnifiedDashboardPage | 1 page (but central)
src/components/layout/SidebarContainer/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/layout/AIAssistantsPanel/AIAssistantsPanel.jsx | UnifiedDashboardPage line 8 - CRITICAL | HIGH | UnifiedDashboardPage | 1 page (but central)
src/components/layout/AIAssistantsPanel/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/layout/DepartmentContentPanel/DepartmentContentPanel.jsx | UnifiedDashboardPage line 9 - CRITICAL | HIGH | UnifiedDashboardPage | 1 page (but central)
src/components/layout/DepartmentContentPanel/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/layout/UnifiedDashboardLayout/UnifiedDashboardLayout.jsx | BuyerDashboardPage, SellerDashboardPage, TenantDashboardPage line 3 | HIGH | 3 pages | 3 pages
src/components/layout/UnifiedDashboardLayout/useDashboardState.js | Dashboard state hook - DEPENDENCY | HIGH | UnifiedDashboardLayout | 1 component
src/components/layout/UnifiedDashboardLayout/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/layout/RolePageLayout.jsx | Role page wrapper component | HIGH | Role pages | 5+ pages
src/components/layout/RolePageLayout/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/layout/TopNavBar.jsx | Top navigation bar | HIGH | Layout pages | 3+ pages
src/components/layout/TopNavBar/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/layout/UnifiedProfile/UnifiedProfile.jsx | Profile display component | HIGH | ProfilePage | 2 pages
src/components/layout/UnifiedProfile/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/layout/RightPanelContainer/RightPanelContainer.jsx | Right panel layout | HIGH | Dashboard pages | 2+ pages
src/components/layout/RightPanelContainer/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/layout/CrimsonSidebar/CrimsonSidebar.jsx | Sidebar component (legacy/backup) | HIGH | Layout pages | 2 pages
src/components/layout/CrimsonSidebar/CrimsonSidebarEnhanced.jsx | Enhanced sidebar variant | MEDIUM | Sidebar pages | 2 pages
src/components/layout/CrimsonSidebar/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/layout/DashboardShell/DashboardShell.jsx | Dashboard wrapper | HIGH | Dashboard pages | 3+ pages
src/components/layout/DashboardShell/DashboardShellUpdated.jsx | Alternative dashboard shell | MEDIUM | Dashboard pages | 2 pages
src/components/layout/DashboardShell/index.js | Export wrapper | HIGH | Module setup | 1 page

# HOMEPAGE COMPONENTS - MASS IMPORT (17 files)
src/components/homepage/Hero/Hero.jsx | HomePage line 7 - HOME PAGE COMPONENT | HIGH | HomePage | 1 page
src/components/homepage/Hero/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/homepage/Features/Features.jsx | HomePage line 8 - HOME PAGE COMPONENT | HIGH | HomePage | 1 page
src/components/homepage/Features/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/homepage/Locations/Locations.jsx | HomePage line 9 - HOME PAGE COMPONENT | HIGH | HomePage | 1 page
src/components/homepage/Locations/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/homepage/Team/Team.jsx | HomePage line 10 - HOME PAGE COMPONENT | HIGH | HomePage | 1 page
src/components/homepage/Team/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/homepage/Testimonials/Testimonials.jsx | HomePage line 11 - HOME PAGE COMPONENT | HIGH | HomePage | 1 page
src/components/homepage/Testimonials/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/homepage/Contact/ContactCTA.jsx | HomePage line 12 - HOME PAGE COMPONENT | HIGH | HomePage | 1 page
src/components/homepage/Contact/index.js | Export wrapper | HIGH | Module setup | 1 page
src/components/InteractiveMap.jsx | HomePage line 13 - HOMEPAGE COMPONENT | HIGH | HomePage | 1 page
src/components/PropertyComparison.jsx | HomePage line 14 - HOMEPAGE COMPONENT | HIGH | HomePage | 1 page
src/components/OffPlanTracker.jsx | HomePage line 15 - HOMEPAGE COMPONENT | HIGH | HomePage | 1 page
src/components/NeighborhoodAnalyzer.jsx | HomePage line 16 - HOMEPAGE COMPONENT | HIGH | HomePage | 1 page
src/components/RentVsBuyCalculator.jsx | HomePage line 17 - HOMEPAGE COMPONENT | HIGH | HomePage | 1 page

# CORE UI COMPONENTS (6 files)
src/components/Footer.jsx | HomePage line 5, PropertiesPage, AboutPage, CareersPage, ContactPage, ServicesPage | HIGH | 6 pages | 6 pages
src/components/ClickToChat.jsx | HomePage line 6, PropertiesPage, AboutPage, CareersPage, ContactPage, ServicesPage | HIGH | 6 pages | 6 pages
src/components/ErrorBoundary.jsx | Error handling wrapper - CRITICAL | HIGH | App-level | ALL pages
src/components/Error.jsx | Error display component | HIGH | Error pages | 2+ pages
src/components/Auth.jsx | Authentication UI | HIGH | Auth pages | 3 pages
src/components/RecentlyViewed.jsx | HomePage line 24 - IMPORTED | HIGH | HomePage | 1 page

# SHARED COMPONENTS (3 files)
src/shared/components/property/PropertyImageSlider.jsx | PropertiesPage line 9 - IMPORTED | HIGH | PropertiesPage | 1 page
